Percentage of Parallel Programming,1 thread,2 Threads,4 Threads,8 Threads,16 Threads
0.005,102.32,58.76,66.84,61.2,70.56
0.01,96.92,57.22,60.88,61.88,100.2
0.015,95.86,57.28,58.72,64.82,64.08
0.02,96.0,57.06,57.3,61.3,61.66
0.025,97.56,57.42,58.06,60.98,61.72
0.03,96.44,57.92,58.34,59.2,61.6
0.035,95.54,58.2,58.38,60.82,61.92
0.04,95.96,57.82,58.08,61.3,61.78
0.045,96.0,58.46,58.42,61.42,61.42
0.05,96.02,58.78,58.32,61.14,70.82
0.055,96.24,58.28,58.28,61.56,80.98
0.06,95.6,60.32,58.26,61.26,90.78
0.065,96.08,60.56,58.44,60.86,71.02
0.07,96.0,59.36,59.16,61.62,74.72
0.075,95.72,58.58,204.76,62.44,73.66
0.08,95.9,59.3,84.46,64.96,65.16
0.085,95.94,61.78,83.26,65.14,62.44
0.09,95.82,58.72,84.8,61.12,63.02
0.095,96.72,58.72,90.96,60.88,71.78
0.1,98.5,59.26,62.66,61.28,73.36
0.105,95.96,58.68,61.12,65.68,70.88
0.11,96.4,65.14,59.1,60.74,75.7
0.115,96.2,70.14,59.82,62.74,78.16
0.12,96.08,58.84,74.3,61.94,72.4
0.125,96.12,58.78,62.98,61.34,80.88
0.13,95.94,58.4,59.76,63.46,69.32
0.135,95.84,62.22,58.04,63.98,68.42
0.14,96.08,60.62,59.3,62.16,79.64
0.145,95.84,59.64,58.36,61.92,70.82
0.15,96.36,58.62,58.38,61.62,76.08
0.155,95.76,57.84,58.1,61.36,72.68
0.16,95.82,58.06,59.4,60.84,73.92
0.165,99.7,58.74,58.1,61.16,68.02
0.17,95.8,58.08,58.2,66.14,98.0
0.175,95.7,58.68,58.86,61.88,68.7
0.18,96.08,57.98,58.84,106.04,68.2
0.185,96.0,57.24,57.72,76.62,65.74
0.19,98.04,58.12,58.24,93.46,75.18
0.195,95.86,57.88,59.34,90.44,67.8
0.2,95.94,58.0,58.48,76.98,65.26
0.205,96.38,57.84,58.82,66.0,69.72
0.21,95.7,58.02,59.36,73.24,67.0
0.215,95.86,57.0,58.14,70.62,66.0
0.22,96.02,58.08,69.26,71.44,68.28
0.225,95.76,58.16,86.74,67.9,77.78
0.23,96.12,58.32,83.08,61.1,66.9
0.235,96.24,57.9,60.88,62.62,68.64
0.24,96.34,58.0,108.46,61.52,68.66
0.245,96.42,63.18,84.12,60.36,64.44
0.25,96.56,61.14,66.8,61.96,62.86
